"Tour Code";"Themes";"Tour Destination";"Price"
"PW7C5C";"Food Tour,Food Tour,";"Santorini Beaches,Santorini Wineries,Santorini,Santorini,";"$$$"
"PFYV9N";;"Santorini Beaches,Athens,Santorini,Athens,Santorini,";"$$$$"
"PD743B";;"Hua Hin,Hua Hin Beach,Thailand,Bath,";"$$"
"PZPLV1";;"Hua Hin,Thailand,Phetchaburi,Royal Palace,Royal Palace,Royal Palace,Royal Palace (Haw Kham),Europe,Thailand,";"$"
"PGMWRS";;"Hua Hin,Thailand,Amphawa,Amphawa Floating Market,Amphawa Canal,Thailand,";"$"
"PWTFUL";"Museum,National Park,National Park,National Park,";"Hua Hin,Thailand,Hot Springs,Kanchanaburi,National Parks,Java,Kanchanaburi,Suita,Japan,Thailand,";"$"
"PDKUN1";;"Hua Hin,Thailand,Amphawa,Amphawa Canal,Damnoen Saduak Floating Market,Plantations,Bangkok,Plantation,Ratchaburi,Europe,Thailand,";"$"
"PEC07J";;"Hua Hin,Thailand,Khao Yoi,Phetchaburi,Laos,Thailand,Vietnam,";"$"
"PWZDSU";;"Hua Hin,Thailand,Royal Palace,Royal Palace,Royal Palace,Royal Palace (Haw Kham),Thailand,";"$"
"PCTKV0";"Museum,";"Hua Hin,Thailand,Khao Yoi,Phetchaburi,";"$"
"PHZGFY";"Outdoor Activities,";"Thailand,Chinatown,Bangkok,Massa,Roman,China,Egypt,Thailand,Pattaya,";"$"
"PEERHV";"National Park,Outdoor Activities,";"Thailand,Bangkok,Thailand,";"$$$$"
"PD0JDB";"Food Tour,National Park,Outdoor Activities,Outdoor Activities,Water Sports,";"Hua Hin,Thailand,Chinatown,Bangkok,Asia,China,Thailand,";"$$$$"
"PN32YC";"National Park,Water Sports,Water Sports,";"Hua Hin,Thailand,Wanakorn National Park,Perm,";"$"
"P0Y3JX";"National Park,Outdoor Activities,Outdoor Activities,";"Jaipur,Ranthambore";"$$"
