Tour Code,Themes,Tour Destination,Price
PD1NU1,"Museum,Museum,","Bob Marley Museum,Devon House,Spanish Town,Boli,Jamaica,Kingston,Mountains,Ocho Rios,Spanish Town,Caribbean,Jamaica,Ocho Rios,Georgia,",$$$
PNRR45,"Museum,Museum,","Bob Marley Museum,Devon House,Boli,Jamaica,Kingston,Mountains,Jamaica,Georgia,",$$$
PZARFK,"World Heritage Site,","Chile,",$$$
PDQTC7,"Museum,","Bob Marley Museum,Devon House,Port Royal,Jamaica,Kingston,New Kingston,Jamaica,",$$$$
P9GNMT,,"Jamaica,Plantation,Jamaica,",$$$
PU30B3,"Museum,Sky Activities,","Jamaica,Ocho Rios,Jamaica,Ocho Rios,",$$
PFZ8RU,"Food Tour,","Chile,",$
PNNK6V,"National Park,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,","Ait Benhaddou,Chefchaouen,Koutoubia Mosque,Saadian Tombs,Casablanca,Hamm,Hassan,Marrakech,Mountains,Taourirt,Casablanca,",$$$$
P7UPJ0,,"Montego Bay,Montego Bay,",$$
PLEHUP,,"Jamaica,Newton,Ocho Rios,Jamaica,Ocho Rios,",$$$
PYBMEX,,"Ocho Rios,Ocho Rios,",$$
PG0F6D,,"Chile, Isla De Maipo, Maipo Valley",$$$
P6GDJ7,"Outdoor Activities,","Mt Kilimanjaro National Park,Nairobi,Nakuru,",$$$$
PZZCTG,,"Jamaica,Newton,Ocho Rios,Jamaica,Ocho Rios,",$$
PUQFDZ,"Museum,Museum,","Bob Marley Museum,Devon House,Spanish Town,Boli,Jamaica,Kingston,Mountains,Spanish Town,Caribbean,Jamaica,Georgia,",$$$
PSAFRK,"Outdoor Activities,","Bryggen,Sognefjord,Bergen,Oslo,Tromso,Trondheim,Bryggen,",$$$$
PZWH0F,"Museum,","Bob Marley Museum,Devon House,Port Royal,Jamaica,Kingston,New Kingston,Jamaica,",$$$$
PVGJ1H,,"Jamaica,Newton,Ocho Rios,Jamaica,Ocho Rios,",$$
PV7MFX,,"Montego Bay,Montego Bay,",$$
PWDXBL,"Museum,Museum,","Bob Marley Museum,Devon House,Falmouth,Spanish Town,Boli,Jamaica,Kingston,Mountains,Spanish Town,Caribbean,Jamaica,Georgia,",$$$
PX6DZ3,"Food Tour,Museum,","Beaches,Beaches,Beaches,Beaches,Valparaiso,Santiago,Valparai,Valparaiso,Chile,",$$$
PRBRHY,,"Monkey Park,Kushiro,Naga,Nagano,Tokyo,Tokyo,",$$$$
PNWJG2,,"Montego Bay,Montego Bay,",$$
PKGZEW,,"Jamaica,Newton,Ocho Rios,Jamaica,Ocho Rios,",$$
P4ZDAP,"World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,","Johannesburg,Africa,South Africa,",$$
P2EQBS,"Water Sports,Water Sports,Water Sports,World Heritage Site,","Lisbon,St John,",$$
PBZKQW,"Water Sports,Water Sports,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,","Porto,Santa Maria,Bata,Lisbon,Martin,Most,Porto,Santa Maria,Portugal,",$$
PWVYBU,,"Flores,Anda,Cadiz,City Center,Flores,Jerez de la Frontera,Reconquista,San Miguel,Santiago,Sevilla,Seville,Spain,Cadiz,",$$$
P8CDCF,"Outdoor Activities,Outdoor Activities,Outdoor Activities,Outdoor Activities,Water Sports,","Machu Picchu,Pisa,The Sacred Valley (Urubamba River Valley),Cusco,Iquitos,Mountains,Paradise,Pisa,San Pedro,Temple,The Amazon,The Andes,Tibet,Peru,",$$$$
PSKGRM,"Outdoor Activities,Outdoor Activities,Outdoor Activities,Outdoor Activities,Outdoor Activities,Water Sports,","Machu Picchu,Pisa,The Sacred Valley (Urubamba River Valley),Cusco,Iquitos,Most,Mountains,Paradise,Pisa,San Pedro,Temple,The Amazon,The Andes,Tibet,Peru,",$$$$
PZHRCC,,"Budapest,Rath,Vienna,",$$$
PKVMBE,,"Budapest,Rath,Vienna,",$$$
