"Title","Tour Destination"
"Hotel in Argentina","Argentina,,Buenos Aires,Cordoba,Northern Argentina,Southern Argentina,The Andes,,Buenos Aires Botanical Gardens,Buenos Aires Zoo,Cabildo,Casa Rosada,Cathedral Metropolitana,Floralis Generica,Galileo Galilei Planetarium,Iguazu National Park,La Boca,La Recoleta Cemetery,Las Grutas,Mendoza,Nueve de Julio Avenue,Patagonia,Perito Moreno Glacier,Plaza Dorrego,Teatro Colon,The Pampas,Tierra del Fuego,,"
"Hotel in Australia","Australia,,Adelaide,Alice Springs,Brisbane,Cairns,Canberra,Darwin,Fraser Coast,Gold Coast, Queensland,Hobart,Mackay,Melbourne,Perth,Phillip Island and Gippsland,Sunshine Coast,Sydney,Townsville,Whitsunday Islands,,A Maze N Things,Adelaide Botanic Garden,Agnes Falls Scenic Reserve,Airlie Beach,Australian War Memorial,Ballarat,Barossa Valley,Blue Mountains,Bowling Green Bay National Park,Broken Hill,Byron Bay,Cape Tribulation,Cockington Green,Coober Pedy,Cooks Cottage,Cradle Mountain,Crocodylus Park and Zoo,Daintree Rainforest Discovery Centre,Dandenong Ranges National Park,Darling Harbour,Deckchair Cinema,Devonport,Eureka Tower,Featherdale Wildlife Park,Federation Square,Flinders Ranges,Fraser Island,Fremantle,Goldfields,Gondwana Rainforests of Australia,Grampians National Park,Great Barrier Reef,Great Ocean Road,Hahndorf,Hamilton Island,Harbour Bridge,Hunter Region,Kakadu National Park,Kangaroo Island,Karijini National Park,Kings Cross,Kings Park and Botanic Garden,London Court,Lone Pine Koala Sanctuary,Louisas Walk,Magnetic Island,Margaret River,Melbourne Cricket Ground (MCG),Melbourne Museum,Melbourne Zoo,Monkey Mia Resort,Mount Wellington,Nambung National Park,National Gallery of Australia,New England,Old Melbourne Gaol,Outback Ballooning,Paronella Park,Phillip Island Circuit,Port Arthur,Puffing Billy Railway,Queen Victoria Market,Reef HQ Aquarium,Riversleigh,Riverway,Royal Botanic Gardens,Sanctuary Cove,Sea World,Skyrail,Snowy Mountains,South Bank,Story Bridge,Surfers Paradise,Sydney Beaches,Sydney Opera House,Sydney Tower,Tamborine Mountain,Tennant Creek,The Esplanade,The Gabba,The Rocks,The Strand,The Wall in the Wilderness,Tjapukai Aboriginal Cultural Park,Uluru - Kata Tjuta National Park,Valley of the Giants Tree Top Walk,Wet n Wild Water World,Whitehaven Beach,Wildflower Region,Wildlife Dome,Wilsons Promontory National Park,Yarra River,,"
"Hotel in Austria","Austria,,Austrian Alps,Innsbruck,Salzburg,Vienna,,Belvedere,Freud Museum,Giant Wheel,Haus der Musik,Hofburg,Hohensalzburg Fortress,Karlskirche,Minopolis – City of Children,Mozarts Birthplace,Museum of Fine Arts (Kunsthistorisches Museum),Natural History Museum,Salzkammergut Lakes,Schloss Kleßheim Palace,Schönbrunn Palace,Spanish Riding School,St Peters Abbey,St Stephen’s Cathedral,Swarovski Crystal World,The Albertina,Vienna State Opera,Wiener Prater,,"
"Hotel in Bahamas","Bahamas,,Nassau,The Islands,,Abacos Islands,Andros Island,Berry Islands,Bimini Islands,Dolphin Encounters,Eleuthera Island,Exumas Islands,Grand Bahama Island,Half Moon Cay,Long Island,Mayaguana Island,Paradise Island,,"
"Hotel in Belgium","Belgium,,Antwerp,Bruges,Brussels,Ghent,,Belgian Centre of Comic Strip Art,Bruges Diamond Museum,Bruparck,Choco-Story Museum,Galeries Royales Saint Hubert,Grand Place (Central Square),Groeninge Museum,Hotel de Ville,Manneken-Pis,Palais Royal,Royal Museum of Central Africa,Royal Museums of Fine Arts,,"
"Hotel in Brazil","Brazil,,Belo Horizonte,Brasilia,Curitiba,Florianopolis,Fortaleza,Recife,Rio de Janeiro,Salvador da Bahia,Sao Luis,Sao Paulo,The Amazon,Vitoria,,Adolpho Ducke Botanical Garden,Angra dos Reis,Buzios Peninsula,Copacabana,Corcovado,Estádio do Maracanã,Football Museum,Ibirapuera Park,Iguaçu Falls,Ipanema,Julio Prestes Cultural Center,Lake Janauari Ecological Park,Rocinha,Santa Teresa,Sugar Loaf,The Meeting of the Waters,,"
"Hotel in Bulgaria","Bulgaria,,Black Sea Coast,Mountains,Sofia,,Alexander Nevsky Cathedral,Boyana Church,Momchilovtsi,National Ethnographic Museum,Pirin National Park,Rila Monastery,St George Rotunda,St. Sofia Church,Vitosha Mountain,,"
"Hotel in Cambodia","Cambodia,,Phnom Penh,Siem Reap,,Aki Ras Landmine Museum,Angkor National Museum,Beng Mealea,Cambodia Cooking Class,Central Market (Psah Thmay),Choeung Ek (The Killing Fields),Foreign Correspondents Club,Krong Kep,National Museum,Psar Chaa - Old Market,Rantanakiri,River Dolphins,Russian Market,Shooting Ranges,Sihanoukville,Temples of Angkor,The Royal Palace,Tonlé Sap Lake,Tuol Sleng Museum,Villages on Stilts,,"
"Hotel in Chile","Chile,,Chilean Patagonia,Easter Island,Isla Grande de Chiloe,Lake District,San Pedro de Atacama,Santiago,Santiago International,Castro,Cerro San Cristóbal,Chilean Museum of Pre-Columbian Art,Chilean Tierra del Fuego,El Tatio Geysers,Magdalena Island Penguin Reserve,Mercado Central,Parque Nacional Chiloé,Parque Nacional Laguna San Rafael,Parque Nacional Torres del Paine,Plaza de Armas,Pukara de Quitor Ruins,Reserva Nacional Los Flamencos,Valparaiso,Vina del Mar,Wine Country,Wooden Churches of Chiloe,Pucon,"
"Hotel in China","China,,Beijing,Chengdu,Guangzhou,Guilin,Hangzhou,Kunming,Shanghai,Tibet,Xi An,,798 Space,Baiyun Mountain,Banpo Village Remains,Beihai Park,Beijing Aquarium,Beijing World Park,Chairman Mao Mausoleum,Chengdu Panda Breeding and Research Center,Chimelong,Elephant Trunk Hill,Forbidden City,Forest of Steles,Fundazzle,Grand Canal,Great Bell Temple,Great Mosque,Great Wall of China,Happy Valley Amusement Park (Beijing Huanle Gu),Huaqing Hot Springs,Jiuxiang Scenic Area,Jokhang Temple,Kuanzhai Ancient Street,Lhasa,Lingyin Temple,Mount Everest,Mount Qincheng,Palkhor Monastery,Potala Palace,Qin Terracotta Army Museum,Reed Flute Cave,Shaanxi Provincial History Museum,Shanghai Museum,Sony ExploraScience,South China Botanical Garden,Stone Forest,Summer Palace,Tashi Lhunpo Monastery,Temple of the Six Banyan Trees,The Beijing National Stadium,The Bund,The Underground City,Tiananmen Square,Tianmen Mountain National Park,Tombs of the Ming Dynasty,West Lake,Yuantong Temple,Yuyuan Gardens,Zhoukoudian Cave,,"
