"Tour Code";"Themes";"Tour Destination";"Price"
"PXCHA7";"Sky Activities,";"Sydney Airport,Harbour Bridge,Sydney Opera House,Sydney,The Coast,";"$$"
"P5C7VY";;"Harbour Bridge,Sydney Opera House,Sydney Opera House,Sydney,Sydney Opera House,";"$"
"P1W1ZM";"Water Sports,";"Yarra River,Melbourne,";"$$"
"P7K001";;"Blue Mountains,Mountains,Sydney,The Valley,";"$$"
"PASITX";;"Harbour Bridge,Sydney Opera House,Sydney Opera House,Sydney,Sydney Opera House,";"$"
"PKFA8G";;"Elizabeth,Mountain View,Sydney,";"$$$"
"PB1TSD";;"Melbourne,";"$$"
"P02W2E";"National Park,";"Royal National Park,The Rocks,South Coast,Sydney,The Coast,";"$$"
"PSUPSJ";"Museum,";"Botanical Gardens,Botanical Gardens,Gardens,Golden Gate Park,Cali,Dali,San Francisco,Temple,Japan,San Francisco,California,Botanical Garden (Orto Botanico), Padua,";"$$"
"PERBVU";;"Federation Square,Melbourne Cricket Ground (MCG),Melbourne,Riverside,";"$$$"
"PVVRF0";;"Sydney Opera House,The Rocks,Sydney,";"$$"
"PBS9JP";;"Blue Mountains,Scenic Railway,Mountains,Roman,Sydney,Australia,";"$$"
"PK0BAR";;"Australia,";"$$$"
"PJM2KD";"Museum,Outdoor Activities,";"Federation Square,Melbourne Museum,Big Ben and the Houses of Parliament,Queen Victoria Market,Victoria,Melbourne,Victoria,Victoria,Victoria,St Kilda,";"$$"
"P2CBLX";"National Park,Sky Activities,";"Great Ocean Road,Otway National Park,Victoria,Elizabeth,Melbourne,Victoria,Victoria,Victoria,";"$$"
"PLI83T";;"Elizabeth,Melbourne,Most,";"$$"
"PEFRD0";;"Sydney Opera House,Sydney Opera House,Sydney,Australia,Sydney Opera House,";"$$"
"PTDKRX";;"New York City,New York,";"$$$$"
"PMGZFJ";;;"$$"
"PCLR9V";"Museum,";"Madame Tussauds,Sydney,";"$$"
"P85905";;"Botanical Gardens,Botanical Gardens,Most,Botanical Garden (Orto Botanico), Padua,";"$$"
"PYUUG0";"National Park,Sky Activities,";"Bay of Islands,Federation Square,Great Ocean Road,Otway National Park,Geelong,Islands,Kangar,London,Melbourne,The Coast,Torquay,Australia,";"$$$$"
"P5YQRU";;;"$$$"
"PB0RJV";;"Sydney Airport,Sydney,";"$$"
"PAYVZ1";;"Sydney Airport,Sydney,";"$$"
"P910GX";"Outdoor Activities,Water Sports,";"Sydney,";"$$"
"PWR0BN";;"The Coast,";"$$"
"PZA1FM";"Water Sports,";"Dive Sites,Dive Sites,";"$$"
"PUN7MK";"National Park,";"Koh Surin National Park,Anda,Thailand,";"$$$$"
"PVK98L";;"Sydney Opera House,";"$$$$"
"PF6VN7";"Sky Activities,";"Grand Canyon,Hoover Dam,The Grand Canyon,The Strip,Hoover,Las Vegas,The Valley,Colorado,Grand Canyon National Park,";"$$$"
"PZ98NA";;"Sydney,";"$"
"PT2F00";"National Park,";"Cradle Mountain,Port Arthur,Wilderness,Tasmania,Tasmanian Wilderness,";"$$$$"
"PKGLKW";"National Park,";"Cradle Mountain,Port Arthur,Wilderness,Tasmania,Tasmanian Wilderness,";"$$$"
"PXPQ8W";"Water Sports,";"South Bank,Yarra River,Melbourne,";"$$"
