Tour Code,Themes,Tour Destination,Price
PD6QLF,"National Park,Sky Activities,","Kahului Airport,Hawaii Volcanoes National Park,Kauai,Maui,Hawaii,Kahului,Maui,Hawaii,Hawaii Volcanoes National Park,",$$$$
P1P4OD,"Museum,Museum,","Oahu,Tahiti,The Islands,Fiji,New Zealand,Samoa,Tonga,Hawaii,Arizona,Hawaii,",$$$
P5LRNI,"National Park,","Hawaii Volcanoes National Park,Big Island,Maui,Oahu,Hawaii,Maui,Arizona,Hawaii,Hawaii Volcanoes National Park,",$$
PRPZ05,,"Lagos,Lagos,",$$
P00NF1,"Water Sports,Water Sports,","Porto,Cruzeiro,Lagos,Porto,Praia,Golden Beach,Lagos,",$
PUNX74,"Water Sports,","Lagos,Praia,Lagos,",$
P5J0UA,"Water Sports,Water Sports,","Golden Beach,",$
P0XUQZ,,"Barcelona,Castelldefels,Barcelona,Sitges,",$$
P1G0BK,,"Barcelona,Castelldefels,Barcelona,Sitges,",$$$$
PKGXLZ,,"Barcelona,Castelldefels,Barcelona,Sitges,",$$$$
PMDNDU,,"Barcelona,Barcelona,",$$
PLBPKL,,"Barcelona,Barcelona,",$
PTVT8C,,"Barcelona,Barcelona,",$$$$
P0TS7A,,"Barcelona,Barcelona,",$$$$
PN0LGR,,"Barcelona,Barcelona,",$$$
PNUPHF,,"Barcelona,Barcelona,",$$$$
PG6KAR,,"Barcelona,Barcelona,",$$$$
PK7CLQ,,"Barcelona,Barcelona,",$$
PUWJQJ,,"Barcelona,Barcelona,",$
P1UCNR,,"Gardens,Sidon (Saida),Anda,Jerez de la Frontera,Medina,Sevilla,Sidon,Spain,",$$$$
P0R1X9,,"Gardens,Granada,Great Mosque,Ronda,Alhambra,Anda,Cordoba,Granada,Jerez de la Frontera,Malaga,Mountains,Roman,Sevilla,Seville,Spain,Alhambra, Generalife and Albayzín, Granada,Alhambra, Generalife and Albayzín, Granada,",$$$$
PFXPUC,,"Anda,Spain,",$$$
PUJAC4,,"Sidon (Saida),Anda,Medina,Seville,Sidon,",$$$
PVL6YC,,"Flores,Anda,Cadiz,City Center,Flores,Jerez de la Frontera,Reconquista,San Miguel,Santiago,Sevilla,Seville,Spain,Cadiz,",$$$
P0WWET,"Museum,","Santa Maria,City Center,El Puerto de Santa Maria,Jerez de la Frontera,Reconquista,San Miguel,Santa Maria,Santiago,Seville,Spain,",$$$
PA3EH1,"Museum,Outdoor Activities,","Anda,",$$$
PEJ1T1,,"The Old Town,Anda,Cadiz,Roman,San Juan,Cadiz,Conil de la Frontera,",$$$
